,level,exp,rocket,glider,friends,likes,GameTime,NumberOfAnnotatedGraffiti,totalAnnotatedGraffiti,Graffiti_avgt,NumberOfDialoguesActivated,totalAnnotatedDialogues,Dialogue_avgt,Age,Gender,Education,General engagement
139,2.0,-0.176,0.0,0.0,0.0,0.9681978798586572,-0.4242500356213203,-0.5714285714285714,-0.6,0.5430429408392395,0.6197183098591549,0.6,0.4014021958903662,13,2.0,0.0,2.0
140,0.0,0.304,0.0,0.0,0.0,-0.4452296819787986,-0.2686004720830308,-0.2857142857142857,-0.2,2.1596396232783457,-0.7323943661971831,-0.5,-0.6339257264658479,13,1.0,0.0,4.0
141,0.0,0.624,0.0,0.0,0.0,-0.303886925795053,-1.1637853919308172,-0.42857142857142855,-0.4,1.6650640963890833,-0.3380281690140845,-0.4,-0.10642988539662146,12,1.0,0.0,4.0
142,0.0,0.304,0.0,0.0,0.0,-0.5865724381625441,-0.6363091604458793,-0.2857142857142857,0.0,0.30725199373134915,-0.6197183098591549,-0.6,-0.6339257264658479,13,1.0,0.0,3.0
143,0.0,-0.656,0.0,0.0,0.0,-0.5865724381625441,-1.4741755204678888,-0.8571428571428571,-0.8,-0.9523407111917871,-0.8450704225352113,-0.6,-0.6339257264658479,13,1.0,0.0,3.0
144,0.0,0.304,0.0,0.0,0.0,-0.5865724381625441,-0.02315728936178031,-0.14285714285714285,-0.2,0.35433301218292673,0.3380281690140845,-0.5,2.8548088151706565,13,1.0,0.0,4.0
145,1.0,-0.352,0.0,0.0,1.0,0.26148409893992935,-0.7663922453769207,0.7142857142857143,0.2,-0.9523407111917871,-0.5633802816901409,-0.4,-0.6339257264658479,13,0.0,0.0,3.0
146,1.0,-0.352,0.0,0.0,0.0,-0.1625441696113074,0.041797109076209114,-0.42857142857142855,-0.2,-0.03468198386254934,0.4507042253521127,-0.2,0.15426308756490945,13,2.0,0.0,4.0
147,1.0,0.608,0.0,0.0,0.0,0.6855123674911661,0.058741863083229484,-0.8571428571428571,-0.8,-0.9523407111917871,-0.056338028169014086,0.5,3.2955071557463214,13,0.0,0.0,4.0
148,0.0,0.944,0.0,0.0,0.0,-0.02120141342756184,-0.12765161160740737,-0.5714285714285714,-0.4,4.396405039438127,-0.7323943661971831,-0.2,0.41932142263667654,13,0.0,0.0,4.0
